Date,Price
July 2022,101.62
June 2022,114.84
May 2022,109.55
April 2022,101.78
March 2022,108.5
February 2022,91.64
January 2022,83.22
December 2021,71.71
November 2021,79.15
October 2021,81.48
September 2021,71.65
August 2021,67.73
July 2021,72.49
June 2021,71.38
May 2021,65.17
April 2021,61.72
March 2021,62.33
February 2021,59.04
January 2021,52
December 2020,47.02
November 2020,40.94
October 2020,39.4
September 2020,39.63
August 2020,42.34
July 2020,40.71
June 2020,38.31
May 2020,28.56
April 2020,16.55
March 2020,29.21
February 2020,50.54
January 2020,57.52
December 2019,59.88
November 2019,57.03
October 2019,53.96
September 2019,56.95
August 2019,54.81
July 2019,57.35
June 2019,54.66
May 2019,60.83
April 2019,63.86
March 2019,58.15
February 2019,54.95
January 2019,51.38
December 2018,49.52
November 2018,56.96
October 2018,70.75
September 2018,70.23
August 2018,68.06
July 2018,70.98
June 2018,67.87
May 2018,69.98
April 2018,66.25
March 2018,62.73
February 2018,62.23
January 2018,63.7
December 2017,57.88
November 2017,56.64
October 2017,51.58
September 2017,49.82
August 2017,48.04
July 2017,46.63
June 2017,45.18
May 2017,48.48
April 2017,51.06
March 2017,49.33
February 2017,53.47
January 2017,52.5
December 2016,51.97
November 2016,45.66
October 2016,49.78
September 2016,45.18
August 2016,44.72
July 2016,44.65
June 2016,48.76
May 2016,46.71
April 2016,40.75
March 2016,37.55
February 2016,30.32
January 2016,31.68
December 2015,37.19
November 2015,42.44
October 2015,46.22
September 2015,45.48
August 2015,42.87
July 2015,50.9
June 2015,59.82
May 2015,59.27
April 2015,54.45
March 2015,47.82
February 2015,50.58
January 2015,47.22
December 2014,59.29
November 2014,75.79
October 2014,84.4
September 2014,93.21
August 2014,96.54
July 2014,103.59
June 2014,105.79
May 2014,102.18
April 2014,102.07
March 2014,100.8
February 2014,100.82
January 2014,94.62
December 2013,97.63
November 2013,93.86
October 2013,100.54
September 2013,106.29
August 2013,106.57
July 2013,104.67
June 2013,95.77
May 2013,94.51
April 2013,92.02
March 2013,92.94
February 2013,95.31
January 2013,94.76
December 2012,87.86
November 2012,86.53
October 2012,89.49
September 2012,94.51
August 2012,94.13
July 2012,87.9
June 2012,82.3
May 2012,94.66
April 2012,103.32
March 2012,106.16
February 2012,102.2
January 2012,100.27
December 2011,98.56
November 2011,97.16
October 2011,86.32
September 2011,85.52
August 2011,86.33
July 2011,97.3
June 2011,96.26
May 2011,100.9
April 2011,109.53
March 2011,102.86
February 2011,88.58
January 2011,89.17
December 2010,89.15
November 2010,84.25
October 2010,81.89
September 2010,75.24
August 2010,76.6
July 2010,76.32
June 2010,75.34
May 2010,73.74
April 2010,84.29
March 2010,81.2
February 2010,76.39
January 2010,78.33
December 2009,74.47
November 2009,77.99
October 2009,75.72
September 2009,69.41
August 2009,71.05
July 2009,64.15
June 2009,69.64
May 2009,59.03
April 2009,49.65
March 2009,47.94
February 2009,39.09
January 2009,41.71
December 2008,41.12
November 2008,57.31
October 2008,76.61
September 2008,104.11
August 2008,116.67
July 2008,133.37
June 2008,133.88
May 2008,125.4
April 2008,112.58
March 2008,105.45
February 2008,95.39
January 2008,92.97
December 2007,91.69
November 2007,94.77
October 2007,85.8
September 2007,79.92
August 2007,72.36
July 2007,74.12
June 2007,67.49
May 2007,63.46
April 2007,63.98
March 2007,60.44
February 2007,59.28
January 2007,54.51
December 2006,61.96
November 2006,59.08
October 2006,58.89
September 2006,63.8
August 2006,73.04
July 2006,74.41
June 2006,70.95
May 2006,70.84
April 2006,69.44
March 2006,62.69
February 2006,61.63
January 2006,65.49
December 2005,59.41
November 2005,58.32
October 2005,62.26
September 2005,65.59
August 2005,64.99
July 2005,59
June 2005,56.35
May 2005,49.83
April 2005,52.98
March 2005,54.19
February 2005,48.15
January 2005,46.84
December 2004,43.15
November 2004,48.47
October 2004,53.28
September 2004,45.94
August 2004,44.9
July 2004,40.78
June 2004,38.03
May 2004,40.28
April 2004,36.75
March 2004,36.74
February 2004,34.69
January 2004,34.31
December 2003,32.13
November 2003,31.11
October 2003,30.34
September 2003,28.31
August 2003,31.57
July 2003,30.76
June 2003,30.66
May 2003,28.11
April 2003,28.17
March 2003,33.51
February 2003,35.83
January 2003,32.95
December 2002,29.46
November 2002,26.35
October 2002,28.84
September 2002,29.66
August 2002,28.39
