U.S. crude oil production
https://www.eia.gov/petroleum/production/
21:50:06 GMT+0430 (Iran Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Crude Oil (Thousand Barrels per Day)  thousand barrels per day
May 2022,11595
Apr 2022,11652
Mar 2022,11701
Feb 2022,11306
Jan 2022,11369
Dec 2021,11634
Nov 2021,11790
Oct 2021,11569
Sep 2021,10918
Aug 2021,11277
Jul 2021,11347
Jun 2021,11356
May 2021,11356
Apr 2021,11305
Mar 2021,11326
Feb 2021,9925
Jan 2021,11124
Dec 2020,11168
Nov 2020,11196
Oct 2020,10457
Sep 2020,10921
Aug 2020,10577
Jul 2020,11006
Jun 2020,10442
May 2020,9713
Apr 2020,11914
Mar 2020,12797
Feb 2020,12842
Jan 2020,12852
Dec 2019,12910
Nov 2019,12966
Oct 2019,12771
Sep 2019,12572
Aug 2019,12475
Jul 2019,11896
Jun 2019,12179
May 2019,12141
Apr 2019,12125
Mar 2019,11899
Feb 2019,11653
Jan 2019,11848
Dec 2018,11924
Nov 2018,11868
Oct 2018,11488
Sep 2018,11422
Aug 2018,11373
Jul 2018,10888
Jun 2018,10628
May 2018,10424
Apr 2018,10493
Mar 2018,10461
Feb 2018,10276
Jan 2018,9996
Dec 2017,9979
Nov 2017,10077
Oct 2017,9659
Sep 2017,9516
Aug 2017,9245
Jul 2017,9246
Jun 2017,9110
May 2017,9184
Apr 2017,9103
Mar 2017,9168
Feb 2017,9109
Jan 2017,8873
Dec 2016,8814
Nov 2016,8901
Oct 2016,8802
Sep 2016,8542
Aug 2016,8688
Jul 2016,8660
Jun 2016,8672
May 2016,8832
Apr 2016,8871
Mar 2016,9088
Feb 2016,9063
Jan 2016,9201
Dec 2015,9275
Nov 2015,9332
Oct 2015,9400
Sep 2015,9480
Aug 2015,9409
Jul 2015,9446
Jun 2015,9358
May 2015,9474
Apr 2015,9658
Mar 2015,9582
Feb 2015,9504
Jan 2015,9382
Dec 2014,9564
Nov 2014,9326
Oct 2014,9264
Sep 2014,9086
Aug 2014,8929
Jul 2014,8843
Jun 2014,8743
May 2014,8645
Apr 2014,8527
Mar 2014,8297
Feb 2014,8157
Jan 2014,8078
Dec 2013,7934
Nov 2013,7920
Oct 2013,7761
Sep 2013,7839
Aug 2013,7536
Jul 2013,7524
Jun 2013,7279
May 2013,7327
Apr 2013,7375
Mar 2013,7215
Feb 2013,7156
Jan 2013,7084
Dec 2012,7105
Nov 2012,7081
Oct 2012,6969
Sep 2012,6597
Aug 2012,6350
Jul 2012,6431
Jun 2012,6275
May 2012,6369
